YEAR ,MONTH,INDEX
2000,1.00E+00,1.40E+00
2000,2.00E+00,2.12E+00
2000,3.00E+00,2.15E+00
2000,4.00E+00,2.37E+00
2000,5.00E+00,2.22E+00
2000,6.00E+00,2.10E+00
2000,7.00E+00,1.66E+00
2000,8.00E+00,1.35E+00
2000,9.00E+00,1.38E+00
2000,1.00E+01,1.70E+00
2000,1.10E+01,2.01E+00
2000,1.20E+01,2.16E+00
2001,1.00E+00,2.86E+00
2001,2.00E+00,2.96E+00
2001,3.00E+00,2.39E+00
2001,4.00E+00,2.20E+00
2001,5.00E+00,1.95E+00
2001,6.00E+00,2.35E+00
2001,7.00E+00,1.50E+00
2001,8.00E+00,1.92E+00
2001,9.00E+00,1.89E+00
2001,1.00E+01,1.16E+00
2001,1.10E+01,1.76E+00
2001,1.20E+01,2.02E+00
2002,1.00E+00,1.86E+00
2002,2.00E+00,2.18E+00
2002,3.00E+00,1.90E+00
2002,4.00E+00,8.97E-01
2002,5.00E+00,1.10E+00
2002,6.00E+00,1.61E+00
2002,7.00E+00,1.38E+00
2002,8.00E+00,8.12E-01
2002,9.00E+00,8.24E-01
2002,1.00E+01,8.24E-01
2002,1.10E+01,1.66E+00
2002,1.20E+01,2.64E+00
2003,1.00E+00,1.97E+00
2003,2.00E+00,9.93E-01
2003,3.00E+00,1.49E+00
2003,4.00E+00,1.10E+00
2003,5.00E+00,9.19E-01
2003,6.00E+00,7.78E-01
2003,7.00E+00,1.20E+00
2003,8.00E+00,7.82E-01
2003,9.00E+00,8.69E-01
2003,1.00E+01,1.29E+00
2003,1.10E+01,-1.14E-01
2003,1.20E+01,2.24E-01
2004,1.00E+00,2.65E-01
2004,2.00E+00,6.67E-01
2004,3.00E+00,3.83E-01
2004,4.00E+00,1.25E-01
2004,5.00E+00,2.07E-01
2004,6.00E+00,7.76E-01
2004,7.00E+00,4.12E-01
2004,8.00E+00,6.85E-01
2004,9.00E+00,3.76E-01
2004,1.00E+01,4.29E-02
2004,1.10E+01,-4.42E-01
2004,1.20E+01,-9.85E-01
2005,1.00E+00,-1.66E+00
2005,2.00E+00,-1.49E+00
2005,3.00E+00,-1.49E+00
2005,4.00E+00,-1.69E+00
2005,5.00E+00,-7.90E-01
2005,6.00E+00,-1.28E+00
2005,7.00E+00,-1.66E+00
2005,8.00E+00,-1.13E+00
2005,9.00E+00,-1.57E+00
2005,1.00E+01,-8.89E-01
2005,1.10E+01,-1.66E+00
2005,1.20E+01,-1.25E+00
2006,1.00E+00,-6.46E-01
2006,2.00E+00,-1.07E+00
2006,3.00E+00,-7.10E-01
2006,4.00E+00,-5.66E-01
2006,5.00E+00,-1.22E-01
2006,6.00E+00,-1.27E-01
2006,7.00E+00,-4.99E-01
2006,8.00E+00,-3.67E-01
2006,9.00E+00,-3.40E-01
2006,1.00E+01,-1.05E+00
2006,1.10E+01,-9.96E-01
